biz_date,biz_hour,post_count
20151206,20,1594
20151206,21,1027
20151206,22,437
20151206,23,177
20151207,00,118
20151207,01,21
20151207,04,2
20151207,06,47
20151207,07,609
20151207,08,5432
20151207,09,19183
20151207,10,22241
20151207,11,20397
20151207,12,15763
20151207,13,10673
20151207,14,9268
20151207,15,11040
20151207,16,10832
20151207,17,7807
20151207,18,5216
20151207,19,2760
20151207,20,1477
20151207,21,1172
20151207,22,482
20151207,23,285
20151208,00,17
20151208,05,8
20151208,06,23
20151208,07,374
20151208,08,5711
20151208,09,21067
20151208,10,24900
20151208,11,21468
20151208,12,13863
20151208,13,8635
20151208,14,8758
20151208,15,10949
20151208,16,10118
20151208,17,7488
20151208,18,4558
20151208,19,2392
20151208,20,1315
20151208,21,803
20151208,22,427
20151208,23,281
20151209,00,19
20151209,01,28
20151209,02,19
20151209,06,46
20151209,07,462
20151209,08,4635
20151209,09,19226
20151209,10,25591
20151209,11,21477
20151209,12,14655
20151209,13,9439
20151209,14,9273
20151209,15,11267
20151209,16,11137
20151209,17,8603
20151209,18,5215
20151209,19,2789
20151209,20,1613
20151209,21,879
20151209,22,597
20151209,23,287
20151210,00,107
20151210,01,30
20151210,02,19
20151210,06,32
20151210,07,376
20151210,08,4685
20151210,09,20108
20151210,10,25946
20151210,11,21871
20151210,12,16318
20151210,13,10837
20151210,14,10137
20151210,15,11892
20151210,16,11133
20151210,17,8539
20151210,18,5331
20151210,19,3337
20151210,20,1966
20151210,21,1074
20151210,22,633
20151210,23,303
20151211,00,98
20151211,03,3
20151211,04,1
20151211,05,6
20151211,06,51
20151211,07,434
20151211,08,5497
20151211,09,22634
20151211,10,26472
20151211,11,21294
20151211,12,14942
20151211,13,9266
20151211,14,9671
20151211,15,12302
20151211,16,10851
20151211,17,7605
20151211,18,4837
20151211,19,2247
20151211,20,1487
20151211,21,885
20151211,22,453
20151211,23,66
20151212,00,42
20151212,01,25
20151212,02,4
20151212,03,6
20151212,04,2
20151212,06,60
20151212,07,341
20151212,08,5289
20151212,09,21758
20151212,10,26792
20151212,11,22583
20151212,12,14766
20151212,13,10363
20151212,14,9583
20151212,15,11887
20151212,16,11676
20151212,17,7695
20151212,18,4284
20151212,19,2028
20151212,20,1206
20151212,21,944
20151212,22,564
20151212,23,167
20151213,00,52
20151213,01,66
20151213,02,12
20151213,06,77
20151213,07,460
20151213,08,5129
20151213,09,19257
20151213,10,27006
20151213,11,24345
20151213,12,16837
20151213,13,11372
20151213,14,12181
20151213,15,14106
20151213,16,15763
20151213,17,11364
20151213,18,7806
20151213,19,4108
20151213,20,2493
20151213,21,1622
20151213,22,881
20151213,23,440
20151214,00,161
20151214,01,35
20151214,02,20
20151214,03,8
20151214,05,5
20151214,06,237
20151214,07,1178
20151214,08,7566
20151214,09,20143
20151214,10,27621
20151214,11,24938
20151214,12,22496
20151214,13,17132
20151214,14,14844
20151214,15,15808
20151214,16,16814
20151214,17,16818
20151214,18,15035
20151214,19,11105
20151214,20,7450
20151214,21,5045
20151214,22,2775
20151214,23,1268
20151215,00,680
20151215,01,266
20151215,02,94
20151215,03,53
20151215,04,41
20151215,05,1
20151215,06,398
20151215,07,1508
20151215,08,7994
20151215,09,23105
20151215,10,29189
20151215,11,26413
20151215,12,22613
20151215,13,17237
20151215,14,14916
20151215,15,15683
20151215,16,16589
20151215,17,17059
20151215,18,15382
20151215,19,11766
20151215,20,9084
20151215,21,6645
20151215,22,3904
20151215,23,1537
20151216,00,994
20151216,01,275
20151216,02,78
20151216,03,121
20151216,04,57
20151216,05,45
20151216,06,520
20151216,07,2006
20151216,08,8200
20151216,09,21809
20151216,10,28356
20151216,11,25539
20151216,12,21932
20151216,13,16042
20151216,14,14679
20151216,15,15492
20151216,16,15697
20151216,17,15447
20151216,18,14234
20151216,19,11201
20151216,20,8106
20151216,21,6337
20151216,22,3494
20151216,23,1715
20151217,00,565
20151217,01,257
20151217,02,60
20151217,03,41
20151217,04,3
20151217,05,40
20151217,06,315
20151217,07,1495
20151217,08,7307
20151217,09,21435
20151217,10,27248
20151217,11,25368
20151217,12,21593
20151217,13,15578
20151217,14,14223
20151217,15,15768
20151217,16,15987
20151217,17,14867
20151217,18,12963
20151217,19,9770
20151217,20,6817
20151217,21,4694
20151217,22,2813
20151217,23,1116
20151218,00,710
20151218,01,262
20151218,02,63
20151218,03,5
20151218,04,22
20151218,05,32
20151218,06,164
20151218,07,1146
20151218,08,6415
20151218,09,21459
20151218,10,28435
20151218,11,26066
20151218,12,20927
20151218,13,14732
20151218,14,13408
20151218,15,15272
20151218,16,15629
20151218,17,14002
20151218,18,10583
20151218,19,7270
20151218,20,4767
20151218,21,3914
20151218,22,2319
20151218,23,872
20151219,00,253
20151219,01,168
20151219,02,96
20151219,03,34
20151219,05,15
20151219,06,114
20151219,07,638
20151219,08,5154
20151219,09,18770
20151219,10,27335
20151219,11,25307
20151219,12,20235
20151219,13,14008
20151219,14,13511
20151219,15,15398
20151219,16,15461
20151219,17,12136
20151219,18,8297
20151219,19,4866
20151219,20,2846
20151219,21,2083
20151219,22,1282
20151219,23,687
20151220,00,201
20151220,01,24
20151220,02,40
20151220,03,26
20151220,05,44
20151220,06,96
20151220,07,500
20151220,08,4390
20151220,09,16967
20151220,10,25913
20151220,11,24523
20151220,12,18689
20151220,13,13913
20151220,14,12920
20151220,15,14873
20151220,16,15029
20151220,17,11055
20151220,18,7778
20151220,19,4681
20151220,20,3085
20151220,21,2049
20151220,22,1461
20151220,23,498
20151221,00,141
20151221,01,60
20151221,04,16
20151221,05,21
20151221,06,102
20151221,07,777
20151221,08,6062
20151221,09,21829
20151221,10,28030
20151221,11,24819
20151221,12,19931
20151221,13,14419
20151221,14,12347
20151221,15,13336
20151221,16,13254
20151221,17,10567
20151221,18,7885
20151221,19,5294
20151221,20,3101
20151221,21,2522
20151221,22,1061
20151221,23,420
20151222,00,282
20151222,01,65
20151222,05,34
20151222,06,151
20151222,07,560
20151222,08,6520
20151222,09,24570
20151222,10,32760
20151222,11,27561
20151222,12,20059
20151222,13,13307
20151222,14,11906
20151222,15,14583
20151222,16,14369
20151222,17,10946
20151222,18,7822
20151222,19,4346
20151222,20,2179
20151222,21,1430
20151222,22,794
20151222,23,443
20151223,00,133
20151223,01,16
20151223,02,44
20151223,03,11
20151223,04,21
20151223,05,43
20151223,06,95
20151223,07,585
20151223,08,6605
20151223,09,25316
20151223,10,32604
20151223,11,28710
20151223,12,21101
20151223,13,13424
20151223,14,11973
20151223,15,15489
20151223,16,14891
20151223,17,11417
20151223,18,7488
20151223,19,4260
20151223,20,2553
20151223,21,1355
20151223,22,822
20151223,23,295
20151224,00,58
20151224,01,36
20151224,02,26
20151224,04,34
20151224,05,35
20151224,06,101
20151224,07,502
20151224,08,5976
20151224,09,24866
20151224,10,34109
20151224,11,29135
20151224,12,20679
20151224,13,13532
20151224,14,12734
20151224,15,14859
20151224,16,15257
20151224,17,11280
20151224,18,7534
20151224,19,4336
20151224,20,2128
20151224,21,1609
20151224,22,662
20151224,23,304
20151225,00,100
20151225,01,14
20151225,04,4
20151225,05,33
20151225,06,63
20151225,07,554
20151225,08,6137
20151225,09,25353
20151225,10,32879
20151225,11,28529
20151225,12,19791
20151225,13,12883
20151225,14,12568
20151225,15,15632
20151225,16,14785
20151225,17,10573
20151225,18,6818
20151225,19,3639
20151225,20,1887
20151225,21,1386
20151225,22,654
20151225,23,295
20151226,00,69
20151226,04,13
20151226,05,11
20151226,06,92
20151226,07,650
20151226,08,6747
20151226,09,25334
20151226,10,32229
20151226,11,27228
20151226,12,19009
20151226,13,12958
20151226,14,11843
20151226,15,14758
20151226,16,14801
20151226,17,9825
20151226,18,5332
20151226,19,2874
20151226,20,1471
20151226,21,1012
20151226,22,429
20151226,23,276
20151227,00,32
20151227,01,61
20151227,02,9
20151227,05,7
20151227,06,79
20151227,07,436
20151227,08,4921
20151227,09,23090
20151227,10,31353
20151227,11,27536
20151227,12,20460
20151227,13,13953
20151227,14,13491
20151227,15,17150
20151227,16,16731
20151227,17,10874
20151227,18,5894
20151227,19,2771
20151227,20,1783
20151227,21,880
20151227,22,338
20151227,23,207
20151228,00,45
20151228,01,12
20151228,02,3
20151228,04,30
20151228,06,100
20151228,07,643
20151228,08,8318
20151228,09,27589
20151228,10,31950
20151228,11,28793
20151228,12,22591
20151228,13,15631
20151228,14,14105
20151228,15,16309
20151228,16,14708
20151228,17,11040
20151228,18,6836
20151228,19,3818
20151228,20,2145
20151228,21,1220
20151228,22,679
20151228,23,170
20151229,00,23
20151229,01,61
20151229,02,33
20151229,04,18
20151229,05,34
20151229,06,50
20151229,07,636
20151229,08,8007
20151229,09,30522
20151229,10,36531
20151229,11,30132
20151229,12,20479
20151229,13,12841
20151229,14,13110
20151229,15,15830
20151229,16,14978
20151229,17,9918
20151229,18,6052
20151229,19,3235
20151229,20,1591
20151229,21,954
20151229,22,472
20151229,23,235
20151230,00,26
20151230,01,63
20151230,02,62
20151230,03,69
20151230,05,1
20151230,06,69
20151230,07,545
20151230,08,8047
20151230,09,30399
20151230,10,37940
20151230,11,30391
20151230,12,20759
20151230,13,13696
20151230,14,13244
20151230,15,16057
20151230,16,15077
20151230,17,10687
