636,9,890608
637,10,970538
638,11,780726
639,12,522722
640,13,344369
641,14,367215
642,15,479864
643,16,440131
644,17,308798
645,18,187731
646,19,91621
647,20,43532
648,21,20679
649,22,9899
650,23,3643
651,0,1284
652,1,322
653,2,142
654,3,178
655,4,108
656,5,561
657,6,3543
658,7,27789
659,8,371630
660,9,886991
661,10,968325
662,11,791553
663,12,536843
664,13,353501
665,14,368116
666,15,495667
667,16,460052
668,17,327897
669,18,201672
670,19,100602
671,20,45483
672,21,22423
673,22,10400
674,23,3879
675,24,28
676,0,1608
677,1,674
678,2,216
679,3,134
680,4,134
681,5,400
682,6,3766
683,7,30741
684,8,355351
685,9,836417
686,10,937952
687,11,770014
688,12,513373
689,13,342345
690,14,360015
691,15,475379
692,16,441547
693,17,285309
694,18,154614
695,19,79788
696,20,37283
697,21,19708
698,22,10399
699,23,3657
700,24,1
701,0,1465
702,1,440
703,2,209
704,3,146
705,4,93
706,5,638
707,6,4272
708,7,35909
709,8,380652
710,9,813865
711,10,880552
712,11,697445
713,12,450680
714,13,305540
715,14,351859
716,15,450073
717,16,395130
718,17,248102
719,18,134726
720,19,68414
721,20,34095
722,21,17664
723,22,10243
724,23,3818
725,0,1259
726,1,336
727,2,239
728,3,166
729,4,206
730,5,691
731,6,4955
732,7,42004
733,8,419394
734,9,845256
735,10,873409
736,11,697590
737,12,478068
738,13,319813
739,14,353103
740,15,437367
741,16,370688
742,17,241822
743,18,139295
744,19,69337
745,20,33862
746,21,16339
747,22,7879
748,23,2973
749,0,1287
750,1,806
751,2,187
752,3,67
753,4,136
754,5,495
755,6,3368
756,7,36628
757,8,426817
758,9,893444
759,10,908294
760,11,699764
761,12,441022
762,13,293678
763,14,343600
764,15,448266
765,16,382439
766,17,252514
767,18,144927
768,19,68597
769,20,33072
770,21,15558
771,22,7194
772,23,3182
773,0,1027
774,1,544
775,2,115
776,3,156
777,4,88
778,5,535
779,6,3346
780,7,32044
781,8,391397
782,9,890317
783,10,935332
784,11,734669
785,12,480823
786,13,316968
787,14,352710
788,15,467581
789,16,418710
790,17,281331
791,18,164374
792,19,80424
793,20,38058
794,21,18400
795,22,8324
796,23,3176
797,0,1379
798,1,564
799,2,271
800,3,144
801,4,141
802,5,643
803,6,3504
804,7,31987
805,8,365854
806,9,758304
807,10,807273
808,11,624609
809,12,392538
810,13,271122
811,14,302133
812,15,398539
813,16,365994
814,17,239148
815,18,124259
816,19,56932
817,20,26526
818,21,13975
819,22,5834
820,23,2506
821,0,1192
822,1,364
823,2,180
824,3,115
825,4,135
826,5,631
827,6,4625
828,7,37226
829,8,359854
830,9,745441
831,10,802628
832,11,639535
833,12,427199
834,13,302006
835,14,345589
836,15,434245
837,16,370914
838,17,235738
839,18,131412
840,19,66789
841,20,35926
842,21,18582
843,22,8216
844,23,2974
845,0,947
846,1,204
847,2,163
848,3,81
849,4,66
850,5,637
851,6,4482
852,7,49400
